window_id,packet_count,total_bytes,duration,size_mean,size_std,size_min,size_max,size_median,size_q25,size_q75,iat_mean,iat_std,iat_min,iat_max,iat_median,ratio_dot11,ratio_ip,ratio_tcp,ratio_udp,ratio_ether,dot11_mgmt_ratio,dot11_ctrl_ratio,dot11_data_ratio,dot11_retry_ratio,ip_len_mean,ip_ttl_mean,ip_proto_variety,tcp_port_variety,tcp_flags_variety,tcp_window_mean,rssi_mean,rssi_std,rssi_min,rssi_max,window_start,window_end,label,filename
0,4,446,1.2289049625396729,111.5,74.58999039191966,42.0,176.0,114.0,49.5,176.0,0.4096349875132243,0.3546876542773919,7.700920104980469e-05,0.6145839691162109,0.6142439842224121,0.0,0.5,0.0,0.5,0.75,0.0,0.0,0.0,0.0,162.0,64.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1760652155.291311,1760652157.291311,0,normal_20251016_170234.pcap
1,12,1037,1.757673978805542,86.41666666666667,43.60454174287422,52.0,176.0,66.0,66.0,75.75,0.22331508000691733,0.343313731564236,1.9073486328125e-06,0.9221069812774658,0.04496002197265625,0.0,0.9166666666666666,0.75,0.16666666666666666,0.9166666666666666,0.0,0.0,0.0,0.0,75.54545454545455,71.36363636363636,2.0,4.0,3.0,271.8888888888889,0.0,0.0,0.0,0.0,1760652157.291311,1760652159.291311,0,normal_20251016_170234.pcap
2,51,24202,1.6875979900360107,474.54901960784315,520.5687779237433,42.0,1292.0,124.0,77.0,1060.0,0.044250234644463725,0.16294996271865972,9.5367431640625e-07,0.9216179847717285,0.0001289844512939453,0.0,0.9411764705882353,0.0,0.9411764705882353,0.9803921568627451,0.0,0.0,0.0,0.0,487.375,60.791666666666664,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1760652159.291311,1760652161.291311,0,normal_20251016_170234.pcap
3,293,183632,1.9845850467681885,626.7303754266212,574.2377070316029,42.0,1292.0,319.0,74.0,1292.0,0.0074448523698029696,0.03917487029274674,9.5367431640625e-07,0.306516170501709,4.887580871582031e-05,0.0,0.931740614334471,0.034129692832764506,0.8976109215017065,0.9965870307167235,0.0,0.0,0.0,0.0,655.4652014652015,59.73626373626374,2.0,3.0,2.0,373.0,0.0,0.0,0.0,0.0,1760652161.291311,1760652163.291311,0,normal_20251016_170234.pcap
4,1737,1624527,1.9978761672973633,935.2487046632124,529.118808450415,50.0,1466.0,1292.0,252.0,1292.0,0.001182137617188942,0.003957924942469149,9.5367431640625e-07,0.06740498542785645,2.5987625122070312e-05,0.0,0.9959700633275763,0.0028785261945883708,0.9919401266551525,0.9994242947610823,0.0,0.0,0.0,0.0,924.3595375722543,58.65953757225434,3.0,2.0,4.0,25992.8,0.0,0.0,0.0,0.0,1760652163.291311,1760652165.291311,0,normal_20251016_170234.pcap
5,644,491154,1.9811768531799316,762.6614906832298,580.7373151827535,52.0,2866.0,1238.5,81.0,1292.0,0.00316084415193588,0.010906884045442362,9.5367431640625e-07,0.15622901916503906,3.3855438232421875e-05,0.0,0.9984472049689441,0.04813664596273292,0.9503105590062112,0.9984472049689441,0.0,0.0,0.0,0.0,749.7667185069985,60.27527216174183,2.0,4.0,4.0,4667.387096774193,0.0,0.0,0.0,0.0,1760652165.291311,1760652167.291311,0,normal_20251016_170234.pcap
6,396,272568,1.9268298149108887,688.3030303030303,557.3967694318578,42.0,1292.0,562.0,77.0,1292.0,0.00519048169021207,0.010661817375129909,9.5367431640625e-07,0.0850529670715332,8.559226989746094e-05,0.0,0.9949494949494949,0.005050505050505051,0.98989898989899,0.9974747474747475,0.0,0.0,0.0,0.0,677.5583756345178,58.911167512690355,2.0,2.0,1.0,561.0,0.0,0.0,0.0,0.0,1760652167.291311,1760652169.291311,0,normal_20251016_170234.pcap
7,3289,3452728,1.9500949382781982,1049.780480389176,475.8759376149209,52.0,1292.0,1292.0,1292.0,1292.0,0.0006083870461783774,0.0034246143237702835,9.5367431640625e-07,0.09970712661743164,2.5033950805664062e-05,0.0,0.9996959562176954,0.0012161751292186075,0.9984797810884768,0.9996959562176954,0.0,0.0,0.0,0.0,1036.0839416058395,99.22110705596107,2.0,2.0,3.0,563.0,0.0,0.0,0.0,0.0,1760652169.291311,1760652171.291311,0,normal_20251016_170234.pcap
8,825,852779,1.903191089630127,1033.6715151515152,489.093033197255,52.0,1466.0,1292.0,1288.0,1292.0,0.0024067214661580654,0.01923118302474193,9.5367431640625e-07,0.4039878845214844,2.4080276489257812e-05,0.0,0.9987878787878788,0.019393939393939394,0.9793939393939394,0.9987878787878788,0.0,0.0,0.0,0.0,1020.8628640776699,94.27184466019418,2.0,3.0,2.0,629.375,0.0,0.0,0.0,0.0,1760652171.291311,1760652173.291311,0,normal_20251016_170234.pcap
9,425,337175,1.420598030090332,793.3529411764706,570.6234488888047,42.0,1466.0,1288.0,79.0,1292.0,0.004311281328017895,0.02511107235224576,9.5367431640625e-07,0.3728950023651123,3.409385681152344e-05,0.0,0.9929411764705882,0.023529411764705882,0.9670588235294117,0.9976470588235294,0.0,0.0,0.0,0.0,784.627962085308,61.12559241706161,3.0,3.0,2.0,685.5,0.0,0.0,0.0,0.0,1760652173.291311,1760652175.291311,0,normal_20251016_170234.pcap
