threshold,accuracy,precision_1,recall_1,f1_1,cybersec_score,tp,tn,fp,fn
0.1,0.6714975845410628,0.6650246305418719,1.0,0.7988165680473372,0.8338069060707742,135,4,68,0
0.15000000000000002,0.6908212560386473,0.6839378238341969,0.9777777777777777,0.8048780487804879,0.8322344872468774,132,11,61,3
0.20000000000000004,0.7053140096618358,0.6947368421052632,0.9777777777777777,0.8123076923076923,0.838372743452835,132,14,58,3
0.25000000000000006,0.7198067632850241,0.7103825136612022,0.9629629629629629,0.8176100628930818,0.8385575882368469,130,19,53,5
0.30000000000000004,0.7246376811594203,0.7191011235955056,0.9481481481481482,0.8178913738019169,0.8347319473846098,128,22,50,7
0.3500000000000001,0.7439613526570048,0.7411764705882353,0.9333333333333333,0.8262295081967213,0.8378118783745382,126,28,44,9
0.40000000000000013,0.7391304347826086,0.7547169811320755,0.8888888888888888,0.8163265306122449,0.8186856257405888,120,33,39,15
0.45000000000000007,0.7439613526570048,0.759493670886076,0.8888888888888888,0.8191126279863481,0.8210848162416682,120,34,38,15
0.5000000000000001,0.7294685990338164,0.7548387096774194,0.8666666666666667,0.806896551724138,0.8056786660433224,117,34,38,18
0.5500000000000002,0.7342995169082126,0.7702702702702703,0.8444444444444444,0.8056537102473499,0.8001632066849459,114,38,34,21
0.6000000000000002,0.748792270531401,0.7943262411347518,0.8296296296296296,0.8115942028985507,0.8028711412615206,112,43,29,23
0.6500000000000001,0.7391304347826086,0.8,0.8,0.8000000000000002,0.7878260869565218,108,45,27,27
0.7000000000000002,0.748792270531401,0.816793893129771,0.7925925925925926,0.8045112781954887,0.7910929183415079,107,48,24,28
0.7500000000000002,0.7536231884057971,0.8442622950819673,0.762962962962963,0.8015564202334631,0.7854848076872311,103,53,19,32
0.8000000000000002,0.7391304347826086,0.8648648648648649,0.7111111111111111,0.7804878048780488,0.7628411019715369,96,57,15,39
0.8500000000000002,0.7294685990338164,0.883495145631068,0.674074074074074,0.7647058823529412,0.7479793005331208,91,60,12,44
